"kwhTotal","dollars","chargeTimeHrs","distance","managerVehicle","facilityType","target"
"5.07","0.0","2.595833333","32.8745456","1","2","1.0"
"4.6","0.0","2.603611111","32.8745456","1","2","1.0"
"2.69","0.0","0.909722222","32.8745456","1","2","1.0"
"6.18","0.0","3.215555556","32.8745456","1","2","1.0"
"6.65","0.75","4.683055556","32.8745456","1","2","1.0"
"5.81","0.0","2.453888889","32.8745456","1","2","1.0"
"6.13","0.0","1.936388889","32.8745456","1","2","1.0"
"7.08","0.0","2.533611111","32.8745456","1","2","1.0"
"6.28","2.42","6.431666667","32.8745456","1","4","0.0"
"6.51","0.75","4.811944444","32.8745456","1","2","1.0"
"6.54","0.58","4.633055556","32.8745456","1","2","1.0"
"7.0","0.0","2.559722222","32.8745456","1","2","1.0"
"6.34","0.75","4.770277778","32.8745456","1","2","1.0"
"7.7","1.08","4.715833333","32.8745456","1","2","1.0"
"6.37","2.0","5.851111111","32.8745456","1","2","1.0"
"6.19","0.83","4.843888889","32.8745456","1","2","1.0"
"2.71","0.0","2.830555556","32.8745456","1","2","1.0"
"0.0","0.0","2.034166667","32.8745456","1","4","0.0"
"7.13","0.0","2.717777778","32.8745456","1","2","1.0"
"3.57","0.0","1.362222222","32.8745456","1","2","1.0"
"1.72","0.0","3.228333333","32.8745456","1","2","1.0"
"5.9","0.0","2.2925","32.8745456","1","2","1.0"
"3.8","0.0","1.211944444","32.8745456","1","4","0.0"
"6.46","0.0","2.484722222","32.8745456","1","2","1.0"
"5.42","0.0","1.769444444","32.8745456","1","2","1.0"
"5.97","0.0","2.128888889","32.8745456","1","4","0.0"
"7.55","0.5","4.105833333","32.8745456","1","2","1.0"
"5.02","0.0","3.878611111","32.8745456","1","2","1.0"
"4.06","0.0","1.894444444","32.8745456","1","2","1.0"
"6.36","0.0","3.225277778","32.8745456","1","2","1.0"
"5.03","0.0","2.274166667","32.8745456","1","2","1.0"
"5.23","1.0","5.021666667","32.8745456","1","2","1.0"
"5.26","0.0","3.684722222","32.8745456","1","4","0.0"
"0.86","0.5","4.394444444","32.8745456","1","2","1.0"
"6.78","1.58","4.247777778","32.8745456","1","2","1.0"
"6.66","0.5","4.000277778","32.8745456","1","2","1.0"
"6.63","0.0","3.31","32.8745456","1","2","1.0"
"7.35","1.58","5.597222222","32.8745456","1","4","0.0"
"5.54","0.5","4.304722222","32.8745456","1","2","1.0"
"6.73","1.67","5.718055556","32.8745456","1","2","1.0"
"6.62","0.67","4.476111111","32.8745456","1","2","1.0"
"6.46","0.75","4.751388889","32.8745456","1","2","1.0"
"8.41","0.0","3.080277778","32.8745456","1","2","1.0"
"7.84","2.0","5.924722222","32.8745456","1","2","1.0"
"5.88","0.75","4.701111111","32.8745456","1","2","1.0"
"4.57","0.0","1.624166667","32.8745456","1","2","1.0"
"6.5","0.0","2.371666667","32.8745456","1","2","1.0"
"5.86","0.0","2.741111111","32.8745456","1","2","1.0"
"5.5","0.0","3.410277778","32.8745456","1","2","1.0"
