"sessionId","kwhTotal","dollars","startTime","endTime","chargeTimeHrs","distance","userId","stationId","locationId","managerVehicle","facilityType","Mon","Tues","Wed","Thurs","Fri","Sat","Sun","reportedZip","target"
"5481838","6.78","0.0","13","15","2.585","32.8745456","35897499","612116","461655","0","3","0","0","0","1","0","0","0","0","0.0"
"5187868","6.21","0.0","16","18","2.127777778","32.8745456","35897499","207262","928191","0","3","0","0","0","0","1","0","0","0","1.0"
"7546366","4.45","0.0","15","17","2.473611111","32.8745456","35897499","801274","976902","0","3","1","0","0","0","0","0","0","0","1.0"
"5407577","4.59","0.0","17","20","3.652777778","32.8745456","35897499","280221","976902","0","3","0","1","0","0","0","0","0","0","1.0"
"1634517","7.39","0.0","17","20","2.544444444","32.8745456","35897499","405157","976902","0","3","0","0","1","0","0","0","0","0","1.0"
"7511668","3.84","0.0","11","15","3.805277778","32.8745456","35897499","280221","976902","0","3","0","0","0","1","0","0","0","0","1.0"
"2225529","3.48","0.0","18","19","1.244722222","32.8745456","35897499","944575","928191","0","3","1","0","0","0","0","0","0","0","0.0"
"2719439","4.38","0.0","13","16","2.551944444","32.8745456","35897499","728918","928191","0","3","0","1","0","0","0","0","0","0","1.0"
"6475803","4.92","0.0","16","18","2.144722222","32.8745456","35897499","738900","976902","0","3","0","0","1","0","0","0","0","0","1.0"
"7314718","4.72","0.0","16","20","3.881388889","32.8745456","35897499","738900","976902","0","3","0","0","0","1","0","0","0","0","1.0"
"8726154","6.5","0.0","17","19","2.665833333","32.8745456","35897499","405157","976902","0","3","0","0","0","0","1","0","0","0","1.0"
"9884932","4.08","0.0","14","16","1.468333333","32.8745456","35897499","355208","976902","0","3","1","0","0","0","0","0","0","0","1.0"
"2725835","0.76","0.0","16","16","0.263611111","32.8745456","35897499","405157","976902","0","3","0","1","0","0","0","0","0","0","1.0"
"9251926","4.6","0.0","16","20","3.771666667","32.8745456","35897499","405157","976902","0","3","0","1","0","0","0","0","0","0","1.0"
"7848461","4.35","0.0","16","20","3.986944444","32.8745456","35897499","801274","976902","0","3","0","0","1","0","0","0","0","0","1.0"
"2450078","5.25","0.0","12","14","2.526388889","32.8745456","35897499","728918","928191","0","3","0","0","0","1","0","0","0","0","1.0"
"8294063","4.14","0.0","18","20","2.178888889","32.8745456","35897499","236379","928191","0","3","0","0","0","1","0","0","0","0","0.0"
"8369555","6.59","0.0","16","20","3.727222222","32.8745456","35897499","738900","976902","0","3","0","0","0","0","1","0","0","0","1.0"
"7946065","7.11","0.0","17","19","2.335277778","32.8745456","35897499","944515","976902","0","3","1","0","0","0","0","0","0","0","1.0"
"2860677","4.17","0.0","16","17","1.356388889","32.8745456","35897499","405157","976902","0","3","0","1","0","0","0","0","0","0","1.0"
"5319961","4.77","0.0","17","20","2.771666667","32.8745456","35897499","355208","976902","0","3","0","0","0","1","0","0","0","0","1.0"
"8693478","7.47","0.0","17","20","3.498055556","32.8745456","35897499","250527","976902","0","3","1","0","0","0","0","0","0","0","1.0"
"9401194","5.64","0.0","14","17","3.431388889","32.8745456","35897499","728918","928191","0","3","0","1","0","0","0","0","0","0","1.0"
"6864613","4.0","0.0","16","18","2.575555556","32.8745456","35897499","738900","976902","0","3","0","0","1","0","0","0","0","0","1.0"
"6383107","3.93","0.0","11","15","3.980555556","32.8745456","35897499","134427","620906","0","3","0","0","0","1","0","0","0","0","0.0"
"7109071","7.01","0.0","17","20","3.440555556","32.8745456","35897499","250527","976902","0","3","0","0","0","1","0","0","0","0","1.0"
"5544644","6.4","0.0","12","16","3.618611111","32.8745456","35897499","280221","976902","0","3","0","0","0","0","1","0","0","0","1.0"
"8796946","1.02","0.5","16","20","4.056944444","32.8745456","35897499","944575","928191","0","3","0","0","0","0","1","0","0","0","0.0"
"7932903","7.12","0.0","16","20","3.983611111","32.8745456","35897499","944515","976902","0","3","1","0","0","0","0","0","0","0","1.0"
"5511788","1.2","0.0","15","15","0.401388889","32.8745456","35897499","355208","976902","0","3","0","0","1","0","0","0","0","0","1.0"
"2177313","3.01","0.0","15","16","0.989444444","32.8745456","35897499","728918","928191","0","3","0","0","1","0","0","0","0","0","1.0"
"4155559","3.79","0.0","11","13","2.571944444","32.8745456","35897499","355208","976902","0","3","0","0","0","1","0","0","0","0","1.0"
"7684218","7.29","0.0","17","20","3.592777778","32.8745456","35897499","728918","928191","0","3","0","0","0","1","0","0","0","0","1.0"
"4774630","6.56","0.0","12","16","3.5325","32.8745456","35897499","738900","976902","0","3","0","0","0","0","1","0","0","0","1.0"
"8889063","1.81","0.0","16","20","3.805555556","32.8745456","35897499","738900","976902","0","3","0","0","0","0","1","0","0","0","1.0"
"1667198","4.6","0.0","17","20","3.796388889","32.8745456","35897499","738900","976902","0","3","1","0","0","0","0","0","0","0","1.0"
"3918469","4.16","0.0","17","20","3.208333333","32.8745456","35897499","738900","976902","0","3","0","1","0","0","0","0","0","0","1.0"
"5137159","5.47","0.0","13","16","3.293888889","32.8745456","35897499","801274","976902","0","3","0","0","1","0","0","0","0","0","1.0"
"9198706","1.38","0.0","16","20","3.680555556","32.8745456","35897499","207262","928191","0","3","0","0","1","0","0","0","0","0","1.0"
"7484631","4.3","0.0","11","14","3.47","32.8745456","35897499","405157","976902","0","3","0","0","0","1","0","0","0","0","1.0"
"5047224","6.13","0.0","17","20","2.751388889","32.8745456","35897499","236379","928191","0","3","0","0","0","1","0","0","0","0","0.0"
"7612366","5.88","0.0","15","17","1.890555556","32.8745456","35897499","207262","928191","0","3","0","0","0","0","1","0","0","0","1.0"
"1943326","5.16","0.0","17","20","2.881111111","32.8745456","35897499","801274","976902","0","3","1","0","0","0","0","0","0","0","1.0"
"4773595","6.66","0.0","14","17","3.178055556","32.8745456","35897499","944575","928191","0","3","0","1","0","0","0","0","0","0","0.0"
"8710352","0.31","0.0","17","19","1.846111111","32.8745456","35897499","894409","928191","0","3","0","1","0","0","0","0","0","0","0.0"
"6946930","1.73","0.0","16","16","0.578333333","32.8745456","35897499","371335","461655","0","3","0","0","1","0","0","0","0","0","1.0"
"9080203","3.97","0.0","11","12","1.311666667","32.8745456","35897499","280221","976902","0","3","0","0","0","1","0","0","0","0","1.0"
"1310541","4.77","0.0","14","17","3.406666667","32.8745456","35897499","280221","976902","0","3","0","0","0","1","0","0","0","0","1.0"
"2051880","3.79","0.0","15","17","2.088611111","32.8745456","35897499","355208","976902","0","3","0","0","0","0","1","0","0","0","1.0"
"2151405","6.56","0.0","17","21","3.940555556","32.8745456","35897499","280221","976902","0","3","1","0","0","0","0","0","0","0","1.0"
"9830354","5.07","0.0","16","20","3.983611111","32.8745456","35897499","405157","976902","0","3","0","1","0","0","0","0","0","0","1.0"
"7366688","4.17","0.0","14","16","2.016388889","32.8745456","35897499","280221","976902","0","3","0","0","1","0","0","0","0","0","1.0"
"3690401","2.87","0.0","16","20","3.966666667","32.8745456","35897499","728918","928191","0","3","0","0","1","0","0","0","0","0","1.0"
"2666943","10.01","0.0","16","19","3.018055556","32.8745456","35897499","500856","976902","0","3","0","0","0","0","1","0","0","0","0.0"
"8966239","6.33","0.0","13","17","3.591944444","32.8745456","35897499","944575","928191","0","3","0","1","0","0","0","0","0","0","0.0"
"1060291","1.3","0.0","17","20","3.461944444","32.8745456","35897499","355208","976902","0","3","0","1","0","0","0","0","0","0","1.0"
"6178031","4.16","0.0","17","20","3.081111111","32.8745456","35897499","250527","976902","0","3","0","0","1","0","0","0","0","0","1.0"
"6720753","5.68","0.0","12","15","2.894444444","32.8745456","35897499","801274","976902","0","3","0","0","0","1","0","0","0","0","1.0"
"5465287","4.27","0.5","16","20","4.144166667","32.8745456","35897499","207262","928191","0","3","0","0","0","1","0","0","0","0","1.0"
"4722963","6.31","0.0","12","16","3.543055556","32.8745456","35897499","801274","976902","0","3","0","0","0","0","1","0","0","0","1.0"
"2353637","6.58","0.0","17","20","3.320833333","32.8745456","35897499","280221","976902","0","3","1","0","0","0","0","0","0","0","1.0"
"4542365","2.27","0.0","17","17","0.527777778","32.8745456","35897499","738900","976902","0","3","0","0","0","1","0","0","0","0","1.0"
"4235947","6.35","0.0","16","19","2.434444444","32.8745456","35897499","801274","976902","0","3","0","0","0","0","1","0","0","0","1.0"
"3346938","4.21","0.0","11","13","2.0","32.8745456","35897499","280221","976902","0","3","1","0","0","0","0","0","0","0","1.0"
"1377083","1.97","0.0","11","12","0.652222222","32.8745456","35897499","944575","928191","0","3","0","0","0","1","0","0","0","0","0.0"
"9206532","3.43","0.0","12","13","1.426666667","32.8745456","35897499","582873","461655","0","3","0","0","0","1","0","0","0","0","0.0"
"3574851","6.27","0.0","17","19","2.291666667","32.8745456","35897499","944575","928191","0","3","0","0","0","1","0","0","0","0","0.0"
"1881770","6.89","0.0","13","17","3.619722222","32.8745456","65023200","863084","751082","1","4","0","0","0","1","0","0","0","0","0.0"
"2564911","6.28","0.0","14","17","2.4475","32.8745456","65023200","987396","978130","1","2","0","0","1","0","0","0","0","0","1.0"
"7028441","2.76","1.25","18","23","4.057222222","32.8745456","65023200","366832","978130","1","2","0","0","1","0","0","0","0","0","1.0"
"2162299","4.1","0.83","18","1","55.23805556","32.8745456","65023200","863084","751082","1","4","1","0","0","0","0","0","0","0","0.0"
"5859533","7.21","1.58","17","23","5.545","32.8745456","65023200","987396","978130","1","2","0","1","0","0","0","0","0","0","1.0"
"4317364","7.02","0.0","20","22","2.406111111","32.8745456","65023200","987396","978130","1","2","0","0","1","0","0","0","0","0","1.0"
"1176150","8.38","0.0","14","17","3.414166667","32.8745456","65023200","863084","751082","1","4","0","1","0","0","0","0","0","0","0.0"
"6226034","6.38","0.5","18","22","4.266388889","32.8745456","65023200","987396","978130","1","2","0","1","0","0","0","0","0","0","1.0"
"4366553","7.52","0.0","14","17","2.507222222","32.8745456","65023200","863084","751082","1","4","0","0","1","0","0","0","0","0","0.0"
"3217970","6.22","0.0","14","16","2.394166667","32.8745456","65023200","863084","751082","1","4","0","0","0","0","1","0","0","0","0.0"
"7786095","7.9","0.0","14","17","3.575555556","32.8745456","65023200","366832","978130","1","2","0","1","0","0","0","0","0","0","1.0"
"4705451","11.61","0.0","19","23","3.900833333","32.8745456","65023200","987396","978130","1","2","0","0","0","1","0","0","0","0","1.0"
"1699715","7.97","0.0","14","17","2.901388889","32.8745456","65023200","366832","978130","1","2","1","0","0","0","0","0","0","0","1.0"
"7648104","6.11","0.0","13","16","3.258055556","32.8745456","65023200","987396","978130","1","2","0","0","1","0","0","0","0","0","1.0"
"4635698","3.11","1.33","17","22","5.142222222","32.8745456","65023200","987396","978130","1","2","0","0","1","0","0","0","0","0","1.0"
"3923928","6.92","0.0","14","17","3.090555556","32.8745456","65023200","987396","978130","1","2","0","0","0","1","0","0","0","0","1.0"
"8791850","9.31","1.25","17","23","5.278333333","32.8745456","65023200","987396","978130","1","2","0","0","0","1","0","0","0","0","1.0"
"1824270","7.89","1.33","17","23","5.3325","32.8745456","65023200","987396","978130","1","2","1","0","0","0","0","0","0","0","1.0"
"2321993","6.66","0.0","16","19","3.495833333","32.8745456","65023200","366832","978130","1","2","0","0","0","1","0","0","0","0","1.0"
"7906889","0.89","0.0","21","21","0.305","32.8745456","65023200","987396","978130","1","2","0","0","0","1","0","0","0","0","1.0"
"5923518","6.3","1.67","16","21","5.699166667","32.8745456","65023200","987396","978130","1","2","0","0","0","0","1","0","0","0","1.0"
"4264640","2.52","0.0","21","21","0.810277778","32.8745456","65023200","987396","978130","1","2","0","1","0","0","0","0","0","0","1.0"
"6087939","0.02","0.0","17","17","0.040555556","32.8745456","65023200","987396","978130","1","2","1","0","0","0","0","0","0","0","1.0"
"2097707","5.54","0.0","18","21","2.731388889","32.8745456","65023200","929628","751082","1","4","1","0","0","0","0","0","0","0","0.0"
"9090606","4.34","0.0","20","21","1.373333333","32.8745456","65023200","366832","978130","1","2","0","1","0","0","0","0","0","0","1.0"
"4833980","2.91","0.0","21","21","0.936388889","32.8745456","65023200","987396","978130","1","2","0","0","1","0","0","0","0","0","1.0"
"9998981","6.21","0.0","17","20","3.309722222","32.8745456","65023200","987396","978130","1","2","0","0","0","1","0","0","0","0","1.0"
"1968884","5.16","0.0","13","15","2.709444444","32.8745456","65023200","929628","751082","1","4","1","0","0","0","0","0","0","0","0.0"
"4775619","0.1","0.0","16","17","0.056666667","32.8745456","65023200","987396","978130","1","2","1","0","0","0","0","0","0","0","1.0"
"7165535","4.64","0.0","20","22","1.434722222","32.8745456","65023200","366832","978130","1","2","0","1","0","0","0","0","0","0","1.0"
"6108765","5.47","0.0","17","20","2.24","32.8745456","65023200","366832","978130","1","2","0","0","0","0","1","0","0","0","1.0"
"5431268","5.48","0.92","17","21","4.051388889","32.8745456","65023200","987396","978130","1","2","1","0","0","0","0","0","0","0","1.0"
"8807066","5.42","0.0","15","18","2.312777778","32.8745456","65023200","987396","978130","1","2","0","1","0","0","0","0","0","0","1.0"
"2366312","6.58","0.75","17","21","4.7025","32.8745456","65023200","863084","751082","1","4","0","0","1","0","0","0","0","0","0.0"
"6533184","5.62","0.0","19","22","2.935555556","32.8745456","65023200","863084","751082","1","4","0","0","0","1","0","0","0","0","0.0"
